,,,Images/classified,367/318
workspace/training_demo/merged_images/test\12232.jpg,No entry,No entry,0.62389046,True
workspace/training_demo/merged_images/test\12261.jpg,No entry,No entry,0.5462179,True
workspace/training_demo/merged_images/test\12457.jpg,No entry,No entry,0.8058631,True
workspace/training_demo/merged_images/test\12486.jpg,No entry,No entry,0.67847747,True
workspace/training_demo/merged_images/test\12573.jpg,No entry,Speed limit (80km/h),0.4095661,False
workspace/training_demo/merged_images/test\no_entry_image_009.jpg,No entry,Priority road,0.31884876,False
workspace/training_demo/merged_images/test\no_entry_image_015.jpg,No entry,Yield,0.48303387,False
workspace/training_demo/merged_images/test\no_entry_image_037.jpg,No entry,No entry,0.72234726,True
workspace/training_demo/merged_images/test\no_entry_image_043.jpg,No entry,No passing,0.43993497,False
workspace/training_demo/merged_images/test\no_entry_image_048.jpg,No entry,Yield,0.371503,False
workspace/training_demo/merged_images/test\no_entry_image_073.jpg,No entry,Keep right,0.34206486,False
workspace/training_demo/merged_images/test\no_entry_image_075.jpg,No entry,Priority road,0.29221028,False
